Date Purchased,Receipt Number,Customer Name,Customer Address,Phone Number,Email,Store Location,Product Name,Product Code,Bar Code,Material Name,Color,Weight,Supplier,Lot Number,Price,Quantity,Tax,Total Price
2025-04-01,1ff49b78-8946-4e85-b59c-de66bacfb3d0,Danielle Johnson,"3321 Brittany Bypass, North Jefferyhaven, 79408",8386379402,danielle.johnson@hotmail.com,"5423 Garcia Light, West Melanieview, 06196",Standard PLA Filament,PLA-792,6.18496E+12,PLA,Blue,500,3DFilaments,L5012,26.69,1,1.87,28.56
2025-04-01,434308bc-89fa-4a68-8fb5-d27bbeb79919,Tracie Wyatt,"64752 Kelly Skyway, Jacquelineland, 80341",+1-283-276-4835x0305,tracie.wyatt@yahoo.com,"1395 Diana Locks, Thomasberg, 32826",Flexible TPU Filament,TPU-338,9.69653E+12,TPU,Purple,500,ProtoPolymers,L1520,20.88,2,2.92,44.68
2025-04-01,52fbe43b-9954-4eb4-8025-7ad1eb2263dd,Eric Moore,"691 James Mountain, Tashatown, 89667",001-184-514-6270x4828,eric.moore@gmail.com,"489 Eric Track, New Stephanie, 70015",Flexible TPU Filament,TPU-325,7.01543E+12,TPU,Purple,1000,PrintPro,L4257,41.47,4,11.61,177.49
2025-04-01,8a0b3c33-36d8-493a-bc44-1fe7ab4220a7,Lisa Spence,"227 Joseph Well, Brandtside, 99495",001-346-578-7133x1509,lisa.spence@hotmail.com,"93010 Carlos Bypass, Chadbury, 37001",Flexible TPU Filament,TPU-814,2.99738E+12,TPU,Yellow,1000,3DFilaments,L1106,42.75,2,5.99,91.49
2025-04-01,fc3d3348-008d-4127-a104-61e32a25a888,Rodney Owens,"010 Chandler Union, East Jamesside, 59301",(624)731-7810,rodney.owens@hotmail.com,"013 Richard Orchard, Port Richard, 08186",Transparent PETG Filament,PET-204,6.47469E+12,PETG,Orange,750,3DFilaments,L3547,26.45,3,5.55,84.9
2025-04-01,750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Beth Daniels,"500 Shaw Walk, North Susan, 11001",(191)361-9399,beth.daniels@gmail.com,"169 Donovan Ford, Johnfurt, 17655",Standard PLA Filament,PLA-926,5.10799E+12,PLA,Blue,750,PrintPro,L6881,45.41,3,9.54,145.77
2025-04-01,217d65a0-c568-41cd-9563-f61600e85ece,David Bailey,"35427 Carr Valley, Lake Lisaport, 87452",241-182-4493,david.bailey@hotmail.com,"3487 Whitehead Vista, North Cynthiaview, 06279",Standard PLA Filament,PLA-180,4.27868E+12,PLA,Red,1000,ProtoPolymers,L9785,23.73,4,6.64,101.56
2025-04-01,dd463c09-4752-47aa-9408-f9ac6601ddd0,Mary Aguilar,"62045 Rachel Fords, Lake Curtis, 73886",(923)226-0256x34216,mary.aguilar@gmail.com,"3375 Hoover Well, East Andrew, 25814",Flexible TPU Filament,TPU-777,1.45869E+12,TPU,Purple,750,3DFilaments,L4150,41.13,1,2.88,44.01
2025-04-01,2c8d0e44-e71e-43a6-bf85-bf0ead64b56c,Sydney Baker,"96556 Paul Ports, West Bradley, 57655",8835615951,sydney.baker@hotmail.com,"8465 Terry Plaza, East Robert, 50196",Pro ABS Filament,ABS-384,9.9468E+12,ABS,Black,750,PrintPro,L4814,45.98,4,12.87,196.79
2025-04-01,76f2dbfe-cd29-436f-a222-82e174daaebf,Diana Marshall,"3872 Justin Shore, Clarencebury, 88685",332-003-7917x6936,diana.marshall@yahoo.com,"3201 Robinson Unions, Williamsbury, 16407",Flexible TPU Filament,TPU-786,8.8958E+12,TPU,Yellow,1000,3DFilaments,L3664,31.1,2,4.35,66.55
2025-04-01,5a0cdd7c-f157-4470-8182-67c47a1b5806,Shannon Walton,"487 Joshua Club, Jimmymouth, 42405",-3649,shannon.walton@yahoo.com,"760 Marissa Loaf, Port Nicoleshire, 50358",Pro ABS Filament,ABS-267,4.66889E+12,ABS,Green,1000,PrintPro,L3803,36.01,2,5.04,77.06
2025-04-01,f319c125-07f1-44f9-8115-6d6d0a4e5b70,Anthony Rogers,"627 Tina Place, South Brittanytown, 11504",+1-627-204-6537x5564,anthony.rogers@yahoo.com,"1708 Zoe Keys, Lake Casey, 85927",Flexible TPU Filament,TPU-334,3.30923E+12,TPU,Yellow,750,3DFilaments,L4598,40.53,1,2.84,43.37
2025-04-02,bbda0242-2d17-4fc9-af7c-15ea272a6d8e,Holly Wang,"99124 Beth Inlet, Sandersborough, 10462",001-314-919-0586,holly.wang@hotmail.com,"1850 Short Coves, Yumouth, 93209",Standard PLA Filament,PLA-317,8.49878E+12,PLA,Red,750,ProtoPolymers,L5386,21.98,3,4.62,70.56
2025-04-02,54aebd1b-8ce6-424d-bef5-9fe6ff233d5f,Joshua Hayes,"9965 Troy Islands, South Jason, 34363",494-808-3136x78377,joshua.hayes@yahoo.com,"14363 Beck Land, Transtad, 56272",Flexible TPU Filament,TPU-862,5.74443E+12,TPU,Yellow,750,ProtoPolymers,L3340,27.94,2,3.91,59.79
2025-04-02,0db95301-afbb-411a-a123-5a8c93b7a886,James Rodgers,"9894 Marissa Hill, West Harry, 02355",001-824-008-4271x094,james.rodgers@yahoo.com,"7520 Everett Neck, Port Cameronfort, 10211",Flexible TPU Filament,TPU-470,2.29413E+12,TPU,Purple,1000,3DFilaments,L8019,46.92,4,13.14,200.82
2025-04-02,44007d5a-e88d-4719-a624-2b40a5cb63a2,Jeremiah Mills,"7496 Carroll Circle, Port Jaredborough, 35188",+1-123-281-2067x97403,jeremiah.mills@yahoo.com,"471 Sandra Turnpike, South Danny, 29967",Pro ABS Filament,ABS-256,2.1025E+12,ABS,Black,500,ProtoPolymers,L2489,42.66,1,2.99,45.65
2025-04-02,f1f8343e-a99f-4318-89c8-a43f7ed70ed7,Holly Bender,"877 Carly Meadows, Cassandratown, 12471",990.490.2787,holly.bender@yahoo.com,"96717 Ortiz Islands, Port Eugenechester, 91422",Standard PLA Filament,PLA-641,6.80715E+12,PLA,White,1000,ProtoPolymers,L2040,31.53,4,8.83,134.95
2025-04-02,9970cf60-ebff-4d15-b0cb-d7556232b17a,Diane Daniels,"0385 Garrett Trace, East Josephberg, 38253",710.932.4808x613,diane.daniels@gmail.com,"1274 Perry Orchard, Sanchezside, 19459",Pro ABS Filament,ABS-887,8.21466E+12,ABS,Green,1000,PrintPro,L2876,40.44,3,8.49,129.81
